"Date","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2015-02-28,"06401","CT","New Haven","New Haven","Ansonia",4656,173300,-0.00172811059907834,-0.0125356125356125,-0.0840380549682875,-0.0354733256869767,-0.0308187096454319,"2006-04","2006-Q2",262900,-0.340813997717763,"2002-12"
2015-02-28,"44410","OH","Youngstown","Trumbull","Cortland",4657,110600,-0.00539568345323741,-0.0133809099018733,-0.0432525951557093,-0.00269062196868475,-0.0124803206118083,"2005-06","2005-Q2",128000,-0.1359375,"2002-09"
2015-02-28,"72715","AR","Fayetteville","Benton","Bella Vista",4658,144500,0.00416956219596942,0.0104895104895105,0.018322762508809,0.0080815729252417,-0.00205275702927143,"2006-11","2006-Q4",157800,-0.0842839036755387,"2004-11"
2015-02-28,"11694","NY","New York","Queens","New York",4659,626700,-0.00079719387755102,-0.0152419861722187,0.00352281825460368,-0.0291750995816645,-0.00891350230903953,"2008-02","2008-Q1",831000,-0.245848375451264,"2004-08"
2015-02-28,"61550","IL","Peoria","Tazewell","Morton",4660,176000,0.00628930817610063,0.0262390670553936,0.0526315789473684,0.00850839346286802,0.0165887188713383,"2015-02","2015-Q1",176000,0,"2015-02"
2015-02-28,"15228","PA","Pittsburgh","Allegheny","Mount Lebanon",4661,240800,0.00542797494780793,0.0113397732045359,0.0876242095754291,0.0437393194639535,0.0350046385141021,"2015-02","2015-Q1",240800,0,"2015-02"
2015-02-28,"90245","CA","Los Angeles","Los Angeles","El Segundo",4662,881300,0.0162592250922509,0.0371895963281158,0.0506676204101097,0.0397888906054527,0.0158577060327578,"2015-02","2015-Q1",881300,0,"2015-02"
2015-02-28,"19341","PA","Philadelphia","Chester","Exton",4663,338900,0.00266272189349112,0.0044457617071725,0.027280994240679,0.00333797733982588,0.00410412345568467,"2007-06","2007-Q2",352900,-0.0396712949844149,"2006-08"
2015-02-28,"25302","WV","Charleston","Kanawha","Charleston",4664,81800,0.00738916256157635,0.00491400491400491,0.0834437086092715,0.0316468411572892,0.0380648626009923,"2015-02","2015-Q1",81800,0,"2015-02"
2015-02-28,"36507","AL","Daphne","Baldwin","Bay Minette",4665,117800,-0.00169491525423729,-0.00674536256323777,0.0252393385552654,0.0264196326633499,0.0127326081408288,"2014-06","2014-Q2",119400,-0.0134003350083752,"2014-05"
2015-02-28,"15017","PA","Pittsburgh","Allegheny","South Fayette Township",4666,150200,0.00334001336005344,0.00535475234270415,0.0923636363636364,0.0308988246442308,0.0239023136869254,"2015-02","2015-Q1",150200,0,"2015-02"
2015-02-28,"55405","MN","Minneapolis-St Paul","Hennepin","Minneapolis",4667,307600,0.00457217504898759,0.0178689609530112,0.00097624471200781,0.019782519717928,-0.000615595892367149,"2006-05","2006-Q2",324300,-0.051495528831329,"2004-11"
2015-02-28,"18976","PA","Philadelphia","Bucks","Warrington",4668,347000,0.00289017341040462,0.00492325514045757,0.0217903415783274,0.00742480795139344,0.00162832123630485,"2007-04","2007-Q2",386900,-0.103127423106746,"2005-05"
2015-02-28,"19123","PA","Philadelphia","Philadelphia","Philadelphia",4669,321600,0.00468603561387067,0.0206283719454142,0.126444833625219,0.0227414446344696,0.041915547083933,"2015-02","2015-Q1",321600,0,"2015-02"
2015-02-28,"97055","OR","Portland","Clackamas","Sandy",4670,243500,0.00329625051503914,0.0167014613778706,0.0968468468468468,0.0161095467015644,0.0181070744278222,"2007-07","2007-Q3",267600,-0.0900597907324365,"2006-02"
2015-02-28,"91040","CA","Los Angeles","Los Angeles","Los Angeles",4671,476300,0.0116822429906542,0.028947936919421,0.0672193591754425,0.0372505557861507,0.00274950254871231,"2006-07","2006-Q3",570000,-0.164385964912281,"2005-04"
2015-02-28,"01001","MA","Springfield","Hampden","Agawam",4672,183300,0.00603732162458836,0.0121479845389288,0.00825082508250825,-0.00377572813496396,-0.00347860870582206,"2006-09","2006-Q3",216600,-0.153739612188366,"2004-11"
2015-02-28,"37208","TN","Nashville","Davidson","Nashville",4673,89200,0.00790960451977401,0.0252873563218391,0.0432748538011696,0.0137805869565579,0.0183080849056039,"2008-07","2008-Q3",91500,-0.0251366120218579,"2007-11"
2015-02-28,"11010","NY","New York","Nassau","Franklin Square",4674,415000,0.00314237370074934,0.00875060768108897,0.0619242579324463,0.0209133025007582,-0.00310300498956295,"2006-11","2006-Q4",475900,-0.127968060516915,"2004-11"
2015-02-28,"11747","NY","New York","Suffolk","Melville",4675,444300,-0.00692892266428252,-0.0372697724810401,-0.146069575245051,-0.0295157517369107,-0.0218247841473652,"2006-12","2006-Q4",606900,-0.267918932278794,"2003-01"
2015-02-28,"11501","NY","New York","Nassau","Mineola",4676,475400,0.00168563000421408,0.00571186799238418,0.0134299722873588,0.0340582904133206,0.00067562115669495,"2006-07","2006-Q3",495800,-0.0411456232351755,"2005-03"
2015-02-28,"49090","MI","Kalamazoo","Van Buren","South Haven Township",4677,162700,-0.00610873549175321,-0.020469596628537,0.0245591939546599,0.0122376165960656,0.00985623975342031,"2014-10","2014-Q4",166900,-0.0251647693229479,"2014-08"
2015-02-28,"55344","MN","Minneapolis-St Paul","Hennepin","Eden Prairie",4678,211300,0.00571156592099,0.00955566172957477,0.014402304368699,0.0075509496657189,-0.0136778746297203,"2005-09","2005-Q3",251300,-0.159172304019101,"2002-09"
2015-02-28,"27021","NC","Winston-Salem","Stokes","King",4679,129400,0.00622083981337481,0.021310181531176,0.0711920529801325,0.0032777353658624,0.0100380578130865,"2009-05","2009-Q2",130200,-0.00614439324116743,"2009-03"
2015-02-28,"06615","CT","Stamford","Fairfield","Stratford",4680,194300,0.00725764644893727,0.0109261186264308,0.0324123273113709,-0.0142915915629264,-0.0250855509655797,"2006-04","2006-Q2",270900,-0.282761166482097,"2003-07"
2015-02-28,"19804","DE","Philadelphia","New Castle","Newport",4681,164000,0.00737100737100737,0.0180012414649286,0.0314465408805031,-0.0173515726978054,-0.00335199901876426,"2007-06","2007-Q2",199500,-0.177944862155388,"2004-11"
