"RegionType","RegionName","State","CBSA Title","SizeRankCity","SizeRankMetro","SaleToListPrice","PctPriceCut","DaysOnMarket","BuyerSellerIndex","BuyerSellerIndexMetro"
"Zip","30815","GA","Augusta-Richmond County, GA-SC",2157,73,0.9942,10.0671,105,3,4.90322580645161
"Zip","30813","GA","Augusta-Richmond County, GA-SC",2325,73,0.9863,6.0703,106,1,4.90322580645161
"Zip","30906","GA","Augusta-Richmond County, GA-SC",1298,73,0.9666,10,114.5,6,4.90322580645161
"Zip","30904","GA","Augusta-Richmond County, GA-SC",2897,73,0.9381,8.6747,153,10,4.90322580645161
"Zip","29860","SC","Augusta-Richmond County, GA-SC",3754,73,0.9746,9.375,104,4,4.90322580645161
"Zip","29841","SC","Augusta-Richmond County, GA-SC",2449,73,0.9598,12.4105,123.5,9,4.90322580645161
"Zip","93309","CA","Bakersfield, CA",1187,51,0.9839,12.8492,75,3.07692307692308,3.48387096774194
"Zip","93304","CA","Bakersfield, CA",1941,51,0.9899,12.3404,68,0.769230769230769,3.48387096774194
"Zip","93308","CA","Bakersfield, CA",1406,51,0.9808,17.1348,69,4.61538461538461,3.48387096774194
"Zip","93306","CA","Bakersfield, CA",1231,51,0.9848,21.3483,78,6.92307692307692,3.48387096774194
"Zip","93313","CA","Bakersfield, CA",2499,51,0.9868,13.5484,72,2.30769230769231,3.48387096774194
"Zip","93314","CA","Bakersfield, CA",3461,51,0.9831,18,87,7.69230769230769,3.48387096774194
"Zip","93307","CA","Bakersfield, CA",1237,51,0.9861,10.4895,80.5,1.53846153846154,3.48387096774194
"Zip","93312","CA","Bakersfield, CA",1570,51,0.9846,19.9659,77,5.38461538461539,3.48387096774194
"Zip","93311","CA","Bakersfield, CA",2113,51,0.9714,14.9367,70,6.15384615384615,3.48387096774194
"Zip","93505","CA","Bakersfield, CA",3801,51,0.9755,11.8774,132,9.23076923076923,3.48387096774194
"Zip","93305","CA","Bakersfield, CA",2937,51,0.9672,12.1387,90,8.46153846153846,3.48387096774194
"Zip","93561","CA","Bakersfield, CA",2786,51,0.9687,11.413,118.5,10,3.48387096774194
"Zip","93555","CA","Bakersfield, CA",2484,51,0.9854,13.0841,98,3.84615384615385,3.48387096774194
"Zip","21221","MD","Baltimore-Towson, MD",1720,19,0.9817,16.0105,126.5,7.36842105263158,5.35483870967742
"Zip","21784","MD","Baltimore-Towson, MD",2346,19,0.9871,18.1579,108,2.36842105263158,5.35483870967742
"Zip","21234","MD","Baltimore-Towson, MD",901,19,0.9793,19.0252,119,8.42105263157895,5.35483870967742
"Zip","21223","MD","Baltimore-Towson, MD",3247,19,0.9566,13.1222,123,8.1578947368421,5.35483870967742
