"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2015-02-28,"19111","PA","Philadelphia","Philadelphia","Philadelphia",166,1236,0.0206440957886045,0.0291423813488759,0.0492359932088285,16159
2015-02-28,"43130","OH","Columbus","Fairfield","Lancaster",167,1137,0.0243243243243243,0.0412087912087912,0.0838894184938036,18052
2015-02-28,"90201","CA","Los Angeles","Los Angeles","Bell",168,1959,0.00255885363357216,-0.000510204081632653,0.0664126292868808,4159
2015-02-28,"33647","FL","Tampa","Hillsborough","Tampa",169,1715,0.00645539906103286,0.014792899408284,0.03003003003003,18296
2015-02-28,"75228","TX","Dallas-Fort Worth","Dallas","Dallas",170,1205,0.0143097643097643,0.0134566862910008,0.0635481023830538,14789
2015-02-28,"11211","NY","New York","Kings","New York",171,2873,0.00948699929725931,-0.00312283136710618,-0.056795797767564,3261
2015-02-28,"28027","NC","Charlotte","Cabarrus","Concord",172,1319,0.00456968773800457,0.0264591439688716,0.0802620802620803,19786
2015-02-28,"92345","CA","Riverside","San Bernardino","Hesperia",173,1161,0.00172562553925798,0,0.0468890892696123,20354
2015-02-28,"77450","TX","Houston","Fort Bend","Cinco Ranch",174,2011,-0.0049480455220188,-0.00544015825914936,0.0254971953085161,19843
2015-02-28,"20011","DC","Washington","District of Columbia","Washington",175,2455,0.00244997958350347,-0.0036525974025974,0.0178275290215589,13799
2015-02-28,"92503","CA","Riverside","Riverside","Riverside",176,1691,0.00654761904761905,0.0223700120918984,0.0444718962322421,17859
2015-02-28,"07002","NJ","New York","Hudson","Bayonne",177,2017,0.00198708395429707,-0.0199222546161322,0.100982532751092,11064
2015-02-28,"90280","CA","Los Angeles","Los Angeles","South Gate",178,1995,0.00200904068307383,-0.0025,0.0731576116191501,10598
2015-02-28,"23454","VA","Virginia Beach","Virginia Beach City","Virginia Beach",179,1637,0.0049109883364027,0.0180348258706468,0.020573566084788,18177
2015-02-28,"89121","NV","Las Vegas","Clark","Las Vegas",180,1102,0,0.0100824931255729,0.0147329650092081,14827
2015-02-28,"85281","AZ","Phoenix","Maricopa","Tempe",181,1225,0.00163532297628782,0.00906095551894563,0.0542168674698795,10792
2015-02-28,"65203","MO","Columbia","Boone","Columbia",182,1347,-0.00148257968865827,-0.0160701241782323,0.0409582689335394,15997
2015-02-28,"90004","CA","Los Angeles","Los Angeles","Los Angeles",183,3834,0.0169761273209549,0.0570719602977668,0.332175121612231,4221
2015-02-28,"28314","NC","Fayetteville","Cumberland","Fayetteville",184,853,0.00117370892018779,-0.0161476355247982,-0.0240274599542334,16595
2015-02-28,"91730","CA","Riverside","San Bernardino","Rancho Cucamonga",185,1849,0.0032555615843733,0.00543773790103317,0.0411036036036036,14489
2015-02-28,"40475","KY","Richmond","Madison","Richmond",186,1100,0.000909918107370337,0.00182149362477231,0.0436432637571157,7494
2015-02-28,"11372","NY","New York","Queens","New York",187,2182,0.00506678949792722,0.0111214087117702,0.0722358722358722,1473
2015-02-28,"21740","MD","Hagerstown","Washington","Hagerstown",188,1143,0.012400354295837,0.0196253345227475,0.0447897623400366,16940
2015-02-28,"47906","IN","Lafayette","Tippecanoe","West Lafayette",189,1233,0.00900163666121113,0.0257903494176373,0.0335289186923722,10624
2015-02-28,"06902","CT","Stamford","Fairfield","Stamford",190,2424,0.00748129675810474,0.0202020202020202,0.0258146424037241,11494
2015-02-28,"77095","TX","Houston","Harris","Cypress",191,1748,0.0034443168771527,0.0098209127671866,0.036158861885003,18910
2015-02-28,"33012","FL","Miami-Fort Lauderdale","Miami-Dade","Hialeah",192,1562,0.00579523502897617,0.0103492884864166,0.0235910878112713,16647
2015-02-28,"89117","NV","Las Vegas","Clark","Las Vegas",193,1315,-0.00303260045489007,-0.00303260045489007,-0.00151860288534548,17666
2015-02-28,"10027","NY","New York","New York","New York",194,3194,0.00884396715097915,0.0250320924261874,0.0743356878573831,783
2015-02-28,"27406","NC","Greensboro","Guilford","Greensboro",195,875,-0.00114155251141553,0.00459242250287026,0.0150812064965197,20617
2015-02-28,"78245","TX","San Antonio","Bexar","San Antonio",196,1219,0.00994200497100249,0.0217937971500419,0.0535868625756266,14184
2015-02-28,"30062","GA","Atlanta","Cobb","Marietta",197,1732,0.00289519397799653,0.00173510699826489,0.013458162668227,20250
2015-02-28,"46227","IN","Indianapolis","Marion","Indianapolis",198,1084,0.00649953574744661,0.0130841121495327,0.0102516309412861,12740
2015-02-28,"29732","SC","Charlotte","York","Rock Hill",199,1258,0.0145161290322581,-0.00316957210776545,0.152014652014652,17314
2015-02-28,"46307","IN","Chicago","Lake","Crown Point",200,1500,-0.0183246073298429,-0.0316333118140736,-0.0144546649145861,26057
2015-02-28,"98103","WA","Seattle","King","Seattle",201,2390,0.00801349641501476,0.0152931180968564,0.0775473399458972,14124
2015-02-28,"92021","CA","San Diego","San Diego","El Cajon",202,2096,0.00866217516843118,0.0155038759689922,0.0522088353413655,10679
2015-02-28,"92126","CA","San Diego","San Diego","San Diego",203,2257,0.00758928571428571,0.0277777777777778,0.0666351606805293,18874
2015-02-28,"97229","OR","Portland","Washington","Cedar Mill",204,2120,-0.000471475719000471,-0.00329102021626704,0.0407461953853706,18618
2015-02-28,"33186","FL","Miami-Fort Lauderdale","Miami-Dade","The Crossings",205,1861,0.00431732325957906,0.00976668475311991,0.0321686078757626,21276
2015-02-28,"27610","NC","Raleigh","Wake","Raleigh",206,1110,0.00452488687782805,0.00817438692098093,0.00634632819582956,18568
2015-02-28,"07093","NJ","New York","Hudson","West New York",207,2418,-0.0166734444896299,-0.0487804878048781,0.070859167404783,7658
2015-02-28,"92335","CA","Riverside","San Bernardino","Fontana",208,1523,0,-0.00131147540983607,0.0318428184281843,15037
2015-02-28,"60626","IL","Chicago","Cook","Chicago",209,1459,-0.000684931506849315,-0.0544394037589112,-0.114146933819065,7786
2015-02-28,"90706","CA","Los Angeles","Los Angeles","Bellflower",210,2195,0.00965961361545538,0.0133887349953832,0.0452380952380952,9539
