"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"Zip","01749","Town of Hudson","MA","Boston, MA","Boston-Cambridge-Quincy, MA-NH",,6.22659533817348,,,,290700,0.414507772020725,-0.818833162743091,,14.2,0.121357668908101,0.0738786279683377,88.5
"Zip","01752","Marlborough","MA","Boston, MA","Boston-Cambridge-Quincy, MA-NH",,4.85575085976309,,,,279800,0.250806162665711,-1.1656658424585,,19.7,0.111714507370054,0.0989583333333333,88.5
"Zip","01754","Maynard","MA","Boston, MA","Boston-Cambridge-Quincy, MA-NH",,7.18952999617883,,,,308600,0.325097529258778,1.91545574636724,,18.2,0.0759297520661157,0.0680272108843537,88.5
"Zip","01756","Mendon","MA","Worcester, MA","Worcester, MA",,8.48872755063049,,,,375800,1.04866899704222,3.98450470392916,,14.6,0.114232209737828,0.0573770491803279,115.5
"Zip","01757","Town of Milford","MA","Worcester, MA","Worcester, MA",,4.36855177684371,,,,260300,0.540749324063345,0.192455735180908,,23.1,0.172805933250927,0.0815450643776824,115.5
"Zip","01760","Natick","MA","Boston, MA","Boston-Cambridge-Quincy, MA-NH",,8.71322124570118,,,,447200,0.584795321637427,0.948081264108352,,6,0.0674275680421422,0.046875,88.5
"Zip","01770","Sherborn","MA","Boston, MA","Boston-Cambridge-Quincy, MA-NH",,9.90160489109668,,,,771500,1.72732067510549,3.54314857066166,,2.3,0.055045871559633,0,88.5
"Zip","01772","Southborough","MA","Worcester, MA","Worcester, MA",,4.15838746656477,,,,534700,-0.149393090569561,-1.69148740577312,,15.1,0.0497168030207678,0.10126582278481,115.5
"Zip","01773","Lincoln","MA","Boston, MA","Boston-Cambridge-Quincy, MA-NH",,7.77703477264043,,,,958500,0.355983666631766,3.23101777059774,,18.8,0.0361290322580645,0.0714285714285714,88.5
"Zip","01775","Stow","MA","Boston, MA","Boston-Cambridge-Quincy, MA-NH",,7.79231944975162,,,,446800,0.38193664345091,0.835025953509366,,3.9,0.052750565184627,0.0714285714285714,88.5
"Zip","01776","Sudbury","MA","Boston, MA","Boston-Cambridge-Quincy, MA-NH",,8.2546809323653,,,,682300,0.887180245453201,0.902099970422952,,14.8,0.030003191828918,0.0851063829787234,88.5
